ma_xa;ten_xa;loai;ma_huyen;ten_huyen;dan_so;Income(mil. VND);pop_serve(after);pop_serve_air(after);%serve;LOS;;Income;;;;dan_so (person);Income (Mil. VND);LOS;;;;;;;;;;;;;;;;;;;;;;
22630;Sông Cầu;Xã;573;Khánh Vĩnh;2198;35,6118571428571;140;150;6,4%;F;;low-income;;;;2198;35,6118571428571;F;;;;;;;;;;;;;;;;;;;;;;
22648;Sơn Thái;Xã;573;Khánh Vĩnh;1684;35,6118571428571;689;861;40,9%;F;;low-income;;;;1684;35,6118571428571;F;;;;;;;;;;;;;;;;;;;;;;
22696;Bình Lộc;Xã;574;Diên Khánh;5943;193,294111111111;705;705;11,9%;F;;high-income;;;;5943;193,294111111111;F;;;;;;;;;;;;;;;;;;;;;;
22693;Diên An;Xã;574;Diên Khánh;11886;232,93236;6268;7241;52,7%;E;;high-income;;;;11886;232,93236;E;;;;;;;;;;;;;;;;;;;;;;
22657;Diên Điền;Xã;574;Diên Khánh;10051;232,93236;2096;2164;20,9%;F;;high-income;;;;10051;232,93236;F;;;;;;;;;;;;;;;;;;;;;;
22684;Diên Hòa;Xã;574;Diên Khánh;5382;134,5655;1981;2104;36,8%;F;;higher-middle income;;;;5382;134,5655;F;;;;;;;;;;;;;;;;;;;;;;
22651;Diên Khánh;Thị trấn;574;Diên Khánh;21491;232,93236;20893;21307;97,2%;A;;high-income;;;;21491;232,93236;A;;;;;;;;;;;;;;;;;;;;;;
22678;Diên Lạc;Xã;574;Diên Khánh;9590;232,93236;8401;8666;87,6%;B;;high-income;;;;9590;232,93236;B;;;;;;;;;;;;;;;;;;;;;;
22654;Diên Lâm;Xã;574;Diên Khánh;5901;232,93236;3053;3188;51,7%;E;;high-income;;;;5901;232,93236;E;;;;;;;;;;;;;;;;;;;;;;
22669;Diên Phú;Xã;574;Diên Khánh;12718;232,93236;6135;7092;48,2%;F;;high-income;;;;12718;232,93236;F;;;;;;;;;;;;;;;;;;;;;;
22675;Diên Phước;Xã;574;Diên Khánh;6536;232,93236;4507;4571;69,0%;D;;high-income;;;;6536;232,93236;D;;;;;;;;;;;;;;;;;;;;;;
22663;Diên Sơn;Xã;574;Diên Khánh;14329;232,93236;6992;6999;48,8%;F;;high-income;;;;14329;232,93236;F;;;;;;;;;;;;;;;;;;;;;;
22681;Diên Tân;Xã;574;Diên Khánh;2746;232,93236;0;0;0,0%;F;;high-income;;;;2746;232,93236;F;;;;;;;;;;;;;;;;;;;;;;
22687;Diên Thạnh;Xã;574;Diên Khánh;7612;232,93236;6862;6919;90,1%;A;;high-income;;;;7612;232,93236;A;;;;;;;;;;;;;;;;;;;;;;
22672;Diên Thọ;Xã;574;Diên Khánh;4929;326,4806;1056;1248;21,4%;F;;high-income;;;;4929;326,4806;F;;;;;;;;;;;;;;;;;;;;;;
22690;Diên Toàn;Xã;574;Diên Khánh;6513;232,93236;5076;5076;77,9%;C;;high-income;;;;6513;232,93236;C;;;;;;;;;;;;;;;;;;;;;;
22702;Suối Hiệp;Xã;574;Diên Khánh;9983;140,297;7014;8111;70,3%;C;;higher-middle income;;;;9983;140,297;C;;;;;;;;;;;;;;;;;;;;;;
22705;Suối Tiên;Xã;574;Diên Khánh;4114;232,93236;0;0;0,0%;F;;high-income;;;;4114;232,93236;F;;;;;;;;;;;;;;;;;;;;;;
22660;Xuân Đồng;Xã;574;Diên Khánh;8639;232,93236;1754;1816;20,3%;F;;high-income;;;;8639;232,93236;F;;;;;;;;;;;;;;;;;;;;;;
22732;Ba Cụm Bắc;Xã;575;Khánh Sơn;4325;156,976324074074;2037;2278;47,1%;F;;higher-middle income;;;;4325;156,976324074074;F;;;;;;;;;;;;;;;;;;;;;;
22735;Ba Cụm Nam;Xã;575;Khánh Sơn;1342;156,976324074074;0;0;0,0%;F;;higher-middle income;;;;1342;156,976324074074;F;;;;;;;;;;;;;;;;;;;;;;
22726;Sơn Bình;Xã;575;Khánh Sơn;3380;156,976324074074;0;0;0,0%;F;;higher-middle income;;;;3380;156,976324074074;F;;;;;;;;;;;;;;;;;;;;;;
22723;Sơn Hiệp;Xã;575;Khánh Sơn;2156;156,976324074074;0;0;0,0%;F;;higher-middle income;;;;2156;156,976324074074;F;;;;;;;;;;;;;;;;;;;;;;
22720;Sơn Lâm;Xã;575;Khánh Sơn;3289;156,976324074074;0;0;0,0%;F;;higher-middle income;;;;3289;156,976324074074;F;;;;;;;;;;;;;;;;;;;;;;
22729;Sơn Trung;Xã;575;Khánh Sơn;2873;156,976324074074;60;67;2,1%;F;;higher-middle income;;;;2873;156,976324074074;F;;;;;;;;;;;;;;;;;;;;;;
22717;Thành Sơn;Xã;575;Khánh Sơn;2263;156,976324074074;0;0;0,0%;F;;higher-middle income;;;;2263;156,976324074074;F;;;;;;;;;;;;;;;;;;;;;;
22714;Tô Hạp;Thị trấn;575;Khánh Sơn;7204;156,976324074074;1978;2119;27,5%;F;;higher-middle income;;;;7204;156,976324074074;F;;;;;;;;;;;;;;;;;;;;;;
